date_ingested,decklist_id,favorites,likes,comments
2025-10-05T03:36:22.524Z,55897,0,0,0
2025-10-05T03:36:23.129Z,55898,0,0,0
2025-10-05T03:36:23.965Z,55899,0,0,0
2025-10-05T03:36:24.949Z,55900,0,0,0
2025-10-05T03:36:25.475Z,55901,1,1,0
2025-10-05T03:36:26.503Z,55902,0,0,0
2025-10-05T03:36:27.032Z,55903,0,0,0
2025-10-05T03:36:27.585Z,55904,0,0,0
2025-10-05T03:36:28.137Z,55905,0,0,0
2025-10-05T03:36:29.365Z,55906,0,0,0
2025-10-05T03:36:30.054Z,55907,0,0,0
2025-10-05T03:36:30.605Z,55908,0,0,0
2025-10-05T03:36:31.123Z,55909,0,0,0
2025-10-05T03:36:32.257Z,55910,0,0,0
2025-10-05T03:36:32.811Z,55911,0,0,0
2025-10-05T03:36:33.395Z,55912,0,0,0
2025-10-05T03:36:33.931Z,55913,0,0,0
2025-10-05T03:36:34.623Z,55914,0,0,0
2025-10-05T03:36:35.175Z,55915,0,0,0
2025-10-05T03:36:36.340Z,55916,0,0,0
2025-10-05T03:36:36.861Z,55917,0,0,0
2025-10-05T03:36:37.398Z,55918,0,0,0
2025-10-05T03:36:37.917Z,55919,1,1,0
2025-10-05T03:36:38.447Z,55920,0,0,0
2025-10-05T03:36:38.976Z,55921,1,1,0
2025-09-28T03:39:06.355Z,55856,5,4,0
2025-09-28T03:39:06.882Z,55857,1,1,0
2025-09-28T03:39:07.396Z,55858,0,0,0
2025-09-28T03:39:07.936Z,55859,0,0,0
2025-10-05T03:36:39.509Z,55860,0,0,0
2025-10-05T03:36:40.371Z,55861,0,0,0
2025-10-05T03:36:41.373Z,55862,0,0,0
2025-10-05T03:36:41.894Z,55863,0,0,0
2025-10-05T03:36:43.167Z,55864,0,0,0
2025-10-05T03:36:43.709Z,55865,0,0,0
2025-10-05T03:36:44.273Z,55867,0,0,0
2025-10-05T03:36:44.827Z,55868,0,0,0
2025-10-05T03:36:45.371Z,55869,0,0,0
2025-10-05T03:36:46.065Z,55870,0,0,0
2025-10-05T03:36:46.635Z,55871,0,0,0
2025-10-05T03:36:47.230Z,55872,1,1,0
2025-10-05T03:36:47.824Z,55873,0,0,0
2025-10-05T03:36:48.340Z,55874,0,0,0
2025-10-05T03:36:48.888Z,55875,0,0,0
2025-10-05T03:36:49.470Z,55876,0,0,0
2025-10-05T03:36:50.029Z,55877,0,0,0
2025-10-05T03:36:50.567Z,55878,0,0,0
2025-10-05T03:36:51.096Z,55879,0,0,0
2025-10-05T03:36:51.688Z,55880,0,0,0
2025-10-05T03:36:53.279Z,55881,0,0,0
2025-10-05T03:36:53.908Z,55889,0,0,0
2025-10-05T03:36:54.454Z,55890,0,0,0
2025-10-05T03:36:55.019Z,55891,0,0,0
2025-10-05T03:36:56.209Z,55892,0,0,0
2025-09-28T03:39:22.073Z,55838,0,0,0
2025-09-28T03:39:22.619Z,55839,0,1,0
2025-09-28T03:39:23.129Z,55840,0,0,0
2025-09-28T03:39:23.744Z,55841,1,1,0
2025-09-28T03:39:24.257Z,55842,0,0,0
2025-09-28T03:39:24.789Z,55845,0,0,0
2025-09-28T03:39:25.301Z,55846,0,1,0
2025-09-28T03:39:25.848Z,55847,0,0,0
2025-09-28T03:39:26.373Z,55848,0,0,0
2025-09-28T03:39:26.909Z,55849,0,0,0
2025-09-28T03:39:27.432Z,55850,0,0,0
2025-09-28T03:39:27.945Z,55851,0,0,0
2025-09-28T03:39:28.462Z,55852,0,0,0
2025-09-28T03:39:28.979Z,55853,0,0,0
2025-09-28T03:39:29.511Z,55854,0,0,0
2025-09-28T03:39:30.037Z,55855,0,0,0
2025-09-28T03:39:30.580Z,55832,0,0,0
2025-09-28T03:39:31.090Z,55833,0,0,0
2025-12-14T03:58:24.243Z,55834,70,106,17
2025-09-28T03:39:32.256Z,55835,0,0,0
2025-09-28T03:39:32.768Z,55836,0,0,0
2025-09-28T03:39:33.277Z,55837,0,0,0
2025-09-28T03:39:33.797Z,55820,0,0,0
2025-09-28T03:39:34.307Z,55821,0,0,0
2025-09-28T03:39:34.846Z,55822,0,0,0
2025-09-28T03:39:35.378Z,55823,0,0,0
2025-09-28T03:39:35.889Z,55824,0,0,0
2025-09-28T03:39:36.406Z,55825,0,0,0
2025-09-28T03:39:36.919Z,55826,5,15,3
2025-09-28T03:39:37.446Z,55827,0,0,0
2025-09-28T03:39:38.075Z,55829,5,6,0
2025-07-23T07:52:02.887Z,55830,0,0,0
2025-09-28T03:39:39.152Z,55831,0,0,0
2025-09-28T03:39:40.017Z,55814,0,0,0
2025-09-28T03:39:40.526Z,55815,0,0,0
2025-09-28T03:39:41.040Z,55819,0,0,0
2025-09-28T03:39:41.551Z,55811,0,0,0
2025-09-28T03:39:42.060Z,55812,0,0,0
2025-09-28T03:39:42.575Z,55798,0,4,3
2025-09-28T03:39:43.136Z,55799,0,0,0
2025-09-28T03:39:43.678Z,55800,0,1,0
2025-09-28T03:39:44.246Z,55801,0,1,0
2025-09-28T03:39:44.788Z,55802,0,0,0
2025-09-28T03:39:45.318Z,55803,0,0,0
2025-09-28T03:39:45.844Z,55804,0,0,0
2025-09-28T03:39:46.368Z,55805,0,1,0
2025-09-28T03:39:46.896Z,55806,0,2,0
2025-09-28T03:39:47.422Z,55807,1,2,0
2025-09-28T03:39:47.949Z,55808,0,1,0
2025-09-28T03:39:48.474Z,55809,0,0,0
2025-09-28T03:39:49.009Z,55810,0,0,0
2025-09-21T03:40:01.451Z,55782,0,0,0
2025-09-28T03:39:49.523Z,55783,0,0,0
2025-09-28T03:39:50.040Z,55784,0,0,0
2025-09-28T03:39:50.572Z,55785,0,0,0
2025-09-28T03:39:51.117Z,55786,0,0,0
2025-09-28T03:39:51.646Z,55787,0,0,0
2025-09-28T03:39:52.158Z,55788,0,0,0
2025-09-28T03:39:52.667Z,55789,0,0,0
2025-09-28T03:39:53.180Z,55790,0,1,0
2025-09-28T03:39:53.725Z,55791,0,0,0
2025-09-28T03:39:54.258Z,55792,0,0,0
2025-09-28T03:39:54.790Z,55793,0,0,0
2025-09-28T03:39:55.317Z,55794,0,0,0
2025-09-28T03:39:55.846Z,55795,0,0,0
2025-09-28T03:39:56.439Z,55796,0,0,0
2025-09-28T03:39:56.967Z,55797,0,0,0
2025-09-21T03:40:11.080Z,55750,2,6,0
2025-09-21T03:40:11.655Z,55751,0,0,0
2025-09-21T03:40:12.232Z,55752,0,0,0
2025-09-21T03:40:12.824Z,55753,0,0,0
2025-09-21T03:40:13.395Z,55754,0,0,0
2025-09-21T03:40:14.020Z,55755,0,0,0
2025-09-21T03:40:14.595Z,55756,0,0,0
2025-09-21T03:40:15.196Z,55757,0,0,0
2025-09-21T03:40:15.771Z,55758,0,1,0
2025-09-21T03:40:16.358Z,55759,1,2,0
2025-09-21T03:40:16.953Z,55760,0,0,0
2025-09-21T03:40:17.524Z,55761,0,0,0
2025-09-21T03:40:18.091Z,55762,0,0,0
2025-09-21T03:40:18.690Z,55763,0,0,0
2025-09-21T03:40:19.269Z,55764,0,0,0
2025-09-21T03:40:19.879Z,55765,0,0,0
2025-09-21T03:40:20.452Z,55766,0,0,0
2025-09-21T03:40:21.058Z,55767,0,0,0
2025-09-21T03:40:21.657Z,55768,0,0,0
2025-09-21T03:40:22.243Z,55769,0,0,0
2025-09-21T03:40:22.803Z,55770,0,0,0
2025-09-21T03:40:23.366Z,55771,0,0,0
2025-09-21T03:40:23.976Z,55772,0,0,0
2025-09-21T03:40:24.563Z,55773,0,1,0
2025-09-21T03:40:25.133Z,55774,0,0,0
2025-09-21T03:40:25.711Z,55775,0,0,0
2025-09-21T03:40:26.280Z,55776,0,0,0
2025-09-21T03:40:26.849Z,55777,0,0,0
2025-07-23T07:52:37.865Z,55778,0,0,0
2025-07-23T07:52:38.327Z,55779,0,0,0
2025-09-21T03:40:28.523Z,55780,0,0,0
